name,position,z_type,z_score,x
kaib/kaib__2_4/rank_022_alphafold2_model_5_seed_001_msa_extra_msa_0.npy,kaib__2_4,common,51.980217,2
kaib/kaib__2_4/rank_022_alphafold2_model_5_seed_001_msa_extra_msa_0.npy,kaib__2_4,right,20.493666,2
kaib/kaib__2_4/rank_022_alphafold2_model_5_seed_001_msa_extra_msa_0.npy,kaib__2_4,up,6.7801433,2
kaib/kaib__2_4/rank_003_alphafold2_model_5_seed_004_msa_extra_msa_2.npy,kaib__2_4,common,56.219864,2
kaib/kaib__2_4/rank_003_alphafold2_model_5_seed_004_msa_extra_msa_2.npy,kaib__2_4,right,14.985606,2
kaib/kaib__2_4/rank_003_alphafold2_model_5_seed_004_msa_extra_msa_2.npy,kaib__2_4,up,7.700021,2
kaib/kaib__2_4/rank_004_alphafold2_model_3_seed_004_msa_extra_msa_1.npy,kaib__2_4,common,58.343254,2
kaib/kaib__2_4/rank_004_alphafold2_model_3_seed_004_msa_extra_msa_1.npy,kaib__2_4,right,15.637356,2
kaib/kaib__2_4/rank_004_alphafold2_model_3_seed_004_msa_extra_msa_1.npy,kaib__2_4,up,3.9342043,2
kaib/kaib__2_4/rank_012_alphafold2_model_2_seed_000_msa_extra_msa_3.npy,kaib__2_4,common,55.78323,2
kaib/kaib__2_4/rank_012_alphafold2_model_2_seed_000_msa_extra_msa_3.npy,kaib__2_4,right,11.764185,2
kaib/kaib__2_4/rank_012_alphafold2_model_2_seed_000_msa_extra_msa_3.npy,kaib__2_4,up,6.166614,2
kaib/kaib__2_4/rank_012_alphafold2_model_2_seed_000_msa_extra_msa_2.npy,kaib__2_4,common,52.9604,2
kaib/kaib__2_4/rank_012_alphafold2_model_2_seed_000_msa_extra_msa_2.npy,kaib__2_4,right,14.207296,2
kaib/kaib__2_4/rank_012_alphafold2_model_2_seed_000_msa_extra_msa_2.npy,kaib__2_4,up,5.322687,2
kaib/kaib__2_4/rank_004_alphafold2_model_3_seed_004_msa_extra_msa_0.npy,kaib__2_4,common,52.477142,2
kaib/kaib__2_4/rank_004_alphafold2_model_3_seed_004_msa_extra_msa_0.npy,kaib__2_4,right,23.18214,2
